timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1775468321043,122,HTTP Request-1,200,OK,Stress Test - 500 Users 6-12,text,true,,34051,121,2,3,http://localhost/opencart/,121,0,0
1775468321031,135,HTTP Request,200,OK,Stress Test - 200 Users 2-8,text,true,,34671,241,1,2,http://localhost/opencart/,1,0,1
1775468321031,1,HTTP Request-0,301,Moved Permanently,Stress Test - 200 Users 2-8,text,true,,620,120,1,2,http://localhost/opencart,1,0,1
1775468321032,134,HTTP Request-1,200,OK,Stress Test - 200 Users 2-8,text,true,,34051,121,1,2,http://localhost/opencart/,132,0,0
1775468321162,147,HTTP Request,200,OK,Stress Test - 500 Users 6-13,text,true,,34671,241,2,5,http://localhost/opencart/,1,0,0
1775468321162,1,HTTP Request-0,301,Moved Permanently,Stress Test - 500 Users 6-13,text,true,,620,120,2,5,http://localhost/opencart,1,0,0
1775468321163,146,HTTP Request-1,200,OK,Stress Test - 500 Users 6-13,text,true,,34051,121,2,5,http://localhost/opencart/,143,0,0
1775468321201,139,HTTP Request,200,OK,Load Test-Scenario 3 - 100 Users 5-6,text,true,,34671,241,1,4,http://localhost/opencart/,2,0,1
1775468321201,2,HTTP Request-0,301,Moved Permanently,Load Test-Scenario 3 - 100 Users 5-6,text,true,,620,120,1,4,http://localhost/opencart,2,0,1
1775468321203,137,HTTP Request-1,200,OK,Load Test-Scenario 3 - 100 Users 5-6,text,true,,34051,121,1,4,http://localhost/opencart/,136,0,0
1775468321231,124,HTTP Request,200,OK,Stress Test - 200 Users 2-9,text,true,,34671,241,1,3,http://localhost/opencart/,1,0,0
1775468321231,1,HTTP Request-0,301,Moved Permanently,Stress Test - 200 Users 2-9,text,true,,620,120,1,3,http://localhost/opencart,1,0,0
1775468321232,123,HTTP Request-1,200,OK,Stress Test - 200 Users 2-9,text,true,,34051,121,1,3,http://localhost/opencart/,121,0,0
1775468321282,122,HTTP Request,200,OK,Stress Test - 500 Users 6-14,text,true,,34671,241,2,3,http://localhost/opencart/,2,0,1
1775468321282,2,HTTP Request-0,301,Moved Permanently,Stress Test - 500 Users 6-14,text,true,,620,120,2,3,http://localhost/opencart,2,0,1
1775468321284,120,HTTP Request-1,200,OK,Stress Test - 500 Users 6-14,text,true,,34051,121,2,3,http://localhost/opencart/,118,0,0
1775468321282,132,HTTP Request,200,OK,Load Test-Scenario 2 - 50 Users 4-5,text,true,,34671,241,1,2,http://localhost/opencart/,2,0,1
1775468321282,2,HTTP Request-0,301,Moved Permanently,Load Test-Scenario 2 - 50 Users 4-5,text,true,,620,120,1,2,http://localhost/opencart,2,0,1
1775468321284,130,HTTP Request-1,200,OK,Load Test-Scenario 2 - 50 Users 4-5,text,true,,34051,121,1,2,http://localhost/opencart/,127,0,0
1775468321403,131,HTTP Request,200,OK,Stress Test - 500 Users 6-15,text,true,,34671,241,2,4,http://localhost/opencart/,1,0,1
1775468321403,1,HTTP Request-0,301,Moved Permanently,Stress Test - 500 Users 6-15,text,true,,620,120,2,4,http://localhost/opencart,1,0,1
1775468321404,130,HTTP Request-1,200,OK,Stress Test - 500 Users 6-15,text,true,,34051,121,2,4,http://localhost/opencart/,128,0,0
1775468321430,117,HTTP Request,200,OK,Stress Test - 200 Users 2-10,text,true,,34671,241,1,3,http://localhost/opencart/,2,0,1
1775468321430,2,HTTP Request-0,301,Moved Permanently,Stress Test - 200 Users 2-10,text,true,,620,120,1,3,http://localhost/opencart,2,0,1
1775468321432,115,HTTP Request-1,200,OK,Stress Test - 200 Users 2-10,text,true,,34051,121,1,3,http://localhost/opencart/,113,0,0
1775468321500,123,HTTP Request,200,OK,Load Test-Scenario 3 - 100 Users 5-7,text,true,,34671,241,1,2,http://localhost/opencart/,1,0,0
1775468321500,1,HTTP Request-0,301,Moved Permanently,Load Test-Scenario 3 - 100 Users 5-7,text,true,,620,120,1,2,http://localhost/opencart,1,0,0
1775468321501,122,HTTP Request-1,200,OK,Load Test-Scenario 3 - 100 Users 5-7,text,true,,34051,121,1,2,http://localhost/opencart/,120,0,0
1775468321522,118,HTTP Request,200,OK,Stress Test - 500 Users 6-16,text,true,,34671,241,1,2,http://localhost/opencart/,1,0,1
1775468321522,1,HTTP Request-0,301,Moved Permanently,Stress Test - 500 Users 6-16,text,true,,620,120,1,2,http://localhost/opencart,1,0,1
1775468321523,117,HTTP Request-1,200,OK,Stress Test - 500 Users 6-16,text,true,,34051,121,1,2,http://localhost/opencart/,115,0,0
1775468321631,101,HTTP Request,200,OK,Stress Test - 200 Users 2-11,text,true,,34671,241,1,4,http://localhost/opencart/,1,0,1
1775468321631,1,HTTP Request-0,301,Moved Permanently,Stress Test - 200 Users 2-11,text,true,,620,120,1,4,http://localhost/opencart,1,0,1
1775468321632,100,HTTP Request-1,200,OK,Stress Test - 200 Users 2-11,text,true,,34051,121,1,4,http://localhost/opencart/,99,0,0
